averageVolume,mid_price,dividend,returns,diff,target
16217548.0,7.559999942779541,0.0,-35.768906977460226,2.2761999427795407,0
1853.0,39.150001525878906,0.0,-16.095152906327602,-0.7379984741210919,0
441.0,23.985000610351562,0.0,0.5744760149785415,-0.7288993896484364,1
14556082.0,16.940000534057617,0.0,-5.3631234912365855,3.1750005340576166,0
69756.0,50.7400016784668,0.0,-4.92256991802698,2.8565416784667974,0
1148158.0,56.75,0.39880476653424657,1.542293328346091,-0.5816000000000017,1
7356.0,31.378000259399414,0.0,-2.4558537247137555,-0.2326997406005873,1
2649577.0,33.0,0.0,-13.589941904525885,-8.963000000000001,1
3167261.0,23.809999465942383,0.04872895781112044,-8.913542379915835,1.1561994659423824,0
20845.0,10.0,0.0,0.7049314468573888,-0.0467600000000008,1
7801.0,23.0,0.0,-0.4329020771356546,-5.3101790000000015,0
